timestamp,Open,High,Low,Close,Volume,OI Open,OI High,OI Low,OI Close,FR Open,FR High,FR Low,FR Close
2022-07-03,19212.0,19625.0,18755.0,19279.5,38333.20671209,401254608.0,404909296.0,389610510.0,399562685.0,0.0032,0.01,-0.014,0.01
2022-07-04,19279.5,20325.0,19024.5,20198.5,49862.87562265,399562685.0,421551095.0,394151173.0,419695478.0,0.01,0.01,-0.0348,-0.004
2022-07-05,20198.5,20723.0,19236.0,20142.5,66951.44477308,419695478.0,439298752.0,408365808.0,418397098.0,-0.004,0.01,-0.0313,0.0076
2022-07-06,20142.5,20658.0,19730.5,20532.5,47579.04364464,418397098.0,435752212.0,411459888.0,430701183.0,0.0076,0.01,-0.0216,-0.0005
2022-07-07,20532.5,21823.0,20228.5,21601.0,48387.77571082,430701183.0,445447709.0,426343697.0,437406747.0,-0.0005,0.01,-0.0194,-0.005
2022-07-08,21601.0,22552.0,21160.0,21571.0,53189.96931515,437406747.0,443598129.0,421363333.0,432917252.0,-0.005,0.01,-0.0572,-0.0085
2022-07-09,21571.0,21962.5,21279.0,21572.0,23710.03242534,432917252.0,444551556.0,432410279.0,443194499.0,-0.0085,0.01,-0.0448,0.0003
2022-07-10,21572.0,21580.5,20628.0,20836.5,32336.11103504,443194499.0,449282232.0,413561022.0,423093004.0,0.0003,0.01,-0.0227,-0.0045
2022-07-11,20836.5,20837.0,19840.0,19933.0,41414.06793003,423093004.0,424004044.0,404700781.0,412270212.0,-0.0045,0.01,-0.0294,0.0078
2022-07-12,19933.0,20025.5,19210.5,19301.0,51028.48380915,412270212.0,422431421.0,405622953.0,418602324.0,0.0078,0.01,-0.0125,-0.0024
2022-07-13,19301.0,20332.5,18857.5,20207.5,77717.96356826,418602324.0,426249333.0,395924285.0,402283546.0,-0.0024,0.01,-0.0353,0.0009
2022-07-14,20207.5,20875.0,19585.0,20564.5,54709.23282091,402283546.0,424839246.0,402283546.0,422890022.0,0.0009,0.01,-0.0401,0.0062
2022-07-15,20564.5,21200.5,20364.5,20822.5,41413.96318288,422890022.0,454071653.0,413640154.0,443541035.0,0.0062,0.01,-0.0496,-0.0015
2022-07-16,20822.5,21567.5,20462.0,21187.0,34007.04144998,443541035.0,447368066.0,425851786.0,429673038.0,-0.0015,0.01,-0.0379,0.0093
2022-07-17,21187.0,21667.5,20738.0,20779.5,35042.63342044,429673038.0,434974414.0,418899399.0,420246270.0,0.0093,0.01,-0.005,0.01
2022-07-18,20779.5,22768.0,20751.0,22425.5,72537.7173859,420246270.0,453582342.0,420246270.0,445555775.0,0.01,0.01,0.0034,0.01
2022-07-19,22425.5,23820.0,21567.0,23391.0,89125.16705344,445555775.0,458272962.0,414717832.0,444000132.0,0.01,0.01,-0.0971,0.01
2022-07-20,23391.0,24269.0,22866.0,23218.0,81232.25819621,444000132.0,460784380.0,422801007.0,431624085.0,0.01,0.01,-0.0537,0.01
2022-07-21,23218.0,23440.0,22308.5,23139.0,56875.96434291,431624085.0,445484343.0,420523339.0,443190071.0,0.01,0.01,-0.0111,-0.0023
2022-07-22,23139.0,23763.0,22495.5,22675.0,41624.90901718,443190071.0,447027060.0,434131605.0,438205233.0,-0.0023,0.01,-0.0227,-0.0004
2022-07-23,22675.0,22996.5,21940.0,22432.5,33578.4831186,438205233.0,442584199.0,417820614.0,418263859.0,-0.0004,0.01,-0.0114,0.0036
2022-07-24,22432.5,23023.0,22222.5,22566.5,30934.92210896,418263859.0,437967579.0,411369288.0,426365870.0,0.0036,0.01,-0.0296,0.0082
2022-07-25,22566.5,22656.5,21222.0,21301.0,45327.893993,426365870.0,433134175.0,405923123.0,407680295.0,0.0082,0.01,-0.0371,0.002
2022-07-26,21301.0,21337.5,20707.5,21237.0,35972.09885213,407680295.0,417838599.0,398688301.0,399209335.0,0.002,0.01,-0.0241,0.0045
2022-07-27,21237.0,23103.5,21037.0,22949.5,53754.45833614,399209335.0,432291782.0,398907793.0,430019935.0,0.0045,0.01,-0.0522,0.0059
2022-07-28,22949.5,24200.0,22557.0,23837.0,53147.87477103,430019935.0,430863562.0,420270193.0,426838582.0,0.0059,0.01,-0.0296,0.01
2022-07-29,23837.0,24475.5,23426.5,23769.5,45553.60222699,426838582.0,443202936.0,425626674.0,428519834.0,0.01,0.01,-0.0104,0.0033
2022-07-30,23769.5,24700.0,23507.0,23645.0,34827.73968894,428519834.0,456955298.0,425003237.0,437964840.0,0.0033,0.01,-0.0334,0.0063
2022-07-31,23645.0,24186.0,23230.0,23301.0,28604.60150927,437964840.0,447986892.0,428309774.0,440432261.0,0.0063,0.01,-0.0187,-0.0004
2022-08-01,23301.0,23513.5,22855.0,23259.0,28245.2717087,440432261.0,446754411.0,432795307.0,440173201.0,-0.0004,0.01,-0.0187,0.01
2022-08-02,23259.0,23459.5,22625.0,22972.5,33802.89181102,440173201.0,449060064.0,430004124.0,434509541.0,0.01,0.01,-0.0808,-0.0062
2022-08-03,22972.5,23649.0,22675.0,22814.5,30994.36741616,434509541.0,445805766.0,424589802.0,429902684.0,-0.0062,0.01,-0.0109,0.0027
2022-08-04,22814.5,23215.0,22369.0,22611.0,31721.54783369,429902684.0,446160881.0,424696191.0,435526403.0,0.0027,0.01,-0.0445,-0.0035
2022-08-05,22611.0,23489.5,22580.0,23302.5,35221.15107012,435526403.0,452238333.0,424312863.0,426484440.0,-0.0035,0.01,-0.0521,0.001
2022-08-06,23302.5,23344.0,22903.5,22949.5,12503.85561187,426484440.0,440425313.0,421263576.0,440069910.0,0.001,0.01,-0.0374,0.0029
2022-08-07,22949.5,23398.0,22848.0,23166.0,16568.53054847,440069910.0,451856009.0,434568268.0,444331332.0,0.0029,0.01,-0.0313,-0.0032
2022-08-08,23166.0,24240.0,23150.5,23807.5,31962.77291939,444331332.0,458077781.0,436698997.0,450164811.0,-0.0032,0.01,-0.0099,0.007
2022-08-09,23807.5,23917.5,22846.5,23139.5,30452.52091419,450164811.0,473004875.0,449081570.0,464955255.0,0.007,0.01,-0.0498,-0.0028
2022-08-10,23139.5,24258.5,22517.0,23951.5,50406.46371196,464955255.0,472590173.0,429554267.0,433350425.0,-0.0028,0.01,-0.0659,0.01
